2026-07-02 20:08:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:08:01 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:08:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:08:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:08:11 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:08:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:08:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:08:21 | DEBUG    | __main__ | Sleeping for 9.6s
2026-07-02 20:08:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:08:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:08:31 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:08:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:08:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:08:41 | DEBUG    | __main__ | Sleeping for 9.6s
2026-07-02 20:08:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:08:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:08:51 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:09:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:09:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:09:01 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:09:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:09:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:09:11 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:09:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:09:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:09:21 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:09:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
